Date,TempHighF,TempAvgF,TempLowF,DewPointHighF,DewPointAvgF,DewPointLowF,HumidityHighPercent,HumidityAvgPercent,HumidityLowPercent,SeaLevelPressureHighInches,SeaLevelPressureAvgInches,SeaLevelPressureLowInches,VisibilityHighMiles,VisibilityAvgMiles,VisibilityLowMiles,WindHighMPH,WindAvgMPH,WindGustMPH,PrecipitationSumInches,Events
2013-12-21,74,60,45,67.0,49.0,43.0,93.0,75.0,57.0,29.86,29.68,29.59,10.0,7.0,2.0,20.0,4.0,31.0,0.46,"Rain , Thunderstorm"
2013-12-22,56,48,39,43.0,36.0,28.0,93.0,68.0,43.0,30.41,30.13,29.87,10.0,10.0,5.0,16.0,6.0,25.0,0.0, 
2013-12-23,58,45,32,31.0,27.0,23.0,76.0,52.0,27.0,30.56,30.49,30.41,10.0,10.0,10.0,8.0,3.0,12.0,0.0, 
2013-12-24,61,46,31,36.0,28.0,21.0,89.0,56.0,22.0,30.56,30.45,30.3,10.0,10.0,7.0,12.0,4.0,20.0,0.0, 
2013-12-25,58,50,41,44.0,40.0,36.0,86.0,71.0,56.0,30.41,30.33,30.27,10.0,10.0,7.0,10.0,2.0,16.0,0.13, 
2013-12-26,57,48,39,39.0,36.0,33.0,79.0,63.0,47.0,30.47,30.4,30.34,10.0,9.0,7.0,12.0,3.0,17.0,0.0, 
2013-12-27,60,53,45,41.0,39.0,37.0,83.0,65.0,47.0,30.46,30.39,30.34,10.0,9.0,7.0,7.0,1.0,11.0,0.13, 
2013-12-28,62,51,40,43.0,39.0,33.0,92.0,64.0,36.0,30.33,30.17,30.04,10.0,10.0,7.0,10.0,2.0,14.0,0.13, 
2013-12-29,64,50,36,49.0,41.0,28.0,92.0,76.0,60.0,30.31,30.1,29.99,10.0,10.0,4.0,17.0,5.0,24.0,0.0, 
2013-12-30,44,40,35,31.0,26.0,21.0,75.0,60.0,45.0,30.44,30.33,30.26,10.0,10.0,10.0,13.0,5.0,21.0,0.0, 
2013-12-31,55,46,36,31.0,28.0,23.0,76.0,54.0,32.0,30.49,30.39,30.27,10.0,10.0,10.0,8.0,1.0,12.0,0.0, 
2014-01-01,69,54,39,51.0,42.0,30.0,83.0,68.0,52.0,30.25,30.11,30.01,10.0,10.0,8.0,13.0,4.0,22.0,0.0, 
2014-01-02,55,44,33,39.0,26.0,19.0,83.0,55.0,26.0,30.49,30.37,30.15,10.0,10.0,9.0,21.0,8.0,31.0,0.0, 
2014-01-03,58,43,28,37.0,22.0,18.0,75.0,49.0,22.0,30.48,30.35,30.14,10.0,10.0,10.0,14.0,4.0,21.0,0.0, 
2014-01-04,71,57,42,55.0,48.0,38.0,89.0,68.0,47.0,30.12,29.95,29.81,10.0,10.0,8.0,16.0,7.0,28.0,0.0, 
2014-01-05,59,47,34,54.0,32.0,15.0,87.0,59.0,31.0,30.48,30.08,29.79,10.0,10.0,4.0,21.0,10.0,34.0,0.0, 
2014-01-06,36,29,22,15.0,8.0,2.0,50.0,38.0,26.0,30.8,30.68,30.5,10.0,10.0,10.0,17.0,7.0,27.0,0.0, 
2014-01-07,48,35,22,29.0,11.0,4.0,68.0,43.0,17.0,30.66,30.52,30.36,10.0,10.0,10.0,13.0,5.0,22.0,0.0, 
2014-01-08,53,47,40,51.0,45.0,30.0,93.0,75.0,57.0,30.33,30.2,30.12,10.0,2.0,1.0,12.0,1.0,18.0,0.16,Rain
2014-01-09,70,62,53,60.0,55.0,50.0,93.0,80.0,66.0,30.18,30.11,30.0,10.0,4.0,0.0,12.0,3.0,19.0,0.0,Fog
2014-01-10,72,65,57,64.0,61.0,54.0,93.0,81.0,68.0,29.97,29.87,29.75,10.0,8.0,1.0,13.0,6.0,21.0,0.1,Rain
2014-01-11,75,62,48,54.0,37.0,20.0,93.0,53.0,13.0,30.16,30.06,29.87,10.0,9.0,5.0,12.0,3.0,19.0,0.0, 
2014-01-12,67,57,46,58.0,47.0,33.0,84.0,68.0,52.0,30.12,30.01,29.9,10.0,10.0,10.0,15.0,4.0,24.0,0.01,Rain
2014-01-13,71,57,43,60.0,36.0,17.0,87.0,51.0,14.0,30.16,30.01,29.86,10.0,9.0,7.0,17.0,7.0,29.0,0.0, 
2014-01-14,76,57,37,31.0,25.0,20.0,70.0,41.0,12.0,30.34,30.13,30.01,10.0,10.0,10.0,16.0,5.0,29.0,0.0, 
2014-01-15,64,52,40,29.0,23.0,16.0,49.0,35.0,21.0,30.47,30.33,30.17,10.0,10.0,10.0,14.0,4.0,21.0,0.0, 
2014-01-16,72,56,40,31.0,27.0,23.0,55.0,38.0,20.0,30.21,30.13,30.06,10.0,10.0,10.0,14.0,4.0,20.0,0.0, 
2014-01-17,64,54,43,31.0,20.0,15.0,45.0,31.0,17.0,30.37,30.29,30.21,10.0,10.0,9.0,14.0,5.0,21.0,0.0, 
2014-01-18,70,54,37,41.0,33.0,23.0,59.0,45.0,31.0,30.26,30.19,30.1,10.0,10.0,10.0,12.0,2.0,19.0,0.0, 
2014-01-19,72,59,45,41.0,30.0,18.0,64.0,39.0,14.0,30.35,30.22,30.12,10.0,10.0,10.0,9.0,3.0,16.0,0.0, 
2014-01-20,82,64,46,51.0,36.0,23.0,71.0,44.0,17.0,30.16,30.0,29.85,10.0,10.0,10.0,16.0,5.0,26.0,0.0, 
2014-01-21,63,51,38,28.0,23.0,19.0,59.0,39.0,19.0,30.43,30.31,30.19,10.0,10.0,10.0,15.0,6.0,25.0,0.0, 
2014-01-22,70,54,37,39.0,27.0,24.0,70.0,45.0,19.0,30.23,30.11,30.01,10.0,10.0,10.0,12.0,4.0,18.0,0.0, 
2014-01-23,56,42,27,42.0,29.0,20.0,78.0,64.0,50.0,30.73,30.47,30.06,10.0,8.0,2.0,20.0,9.0,31.0,0.06,"Rain , Snow"
2014-01-24,40,33,26,22.0,17.0,10.0,81.0,60.0,39.0,30.76,30.63,30.4,10.0,9.0,3.0,16.0,5.0,24.0,0.05, 
2014-01-25,70,48,26,38.0,27.0,22.0,85.0,53.0,20.0,30.38,30.19,30.02,10.0,10.0,8.0,8.0,1.0,14.0,0.0, 
2014-01-26,76,60,43,45.0,39.0,33.0,76.0,52.0,27.0,30.0,29.84,29.69,10.0,10.0,10.0,12.0,3.0,20.0,0.0, 
2014-01-27,60,47,34,43.0,23.0,5.0,66.0,44.0,21.0,30.28,30.09,29.81,10.0,10.0,10.0,21.0,9.0,32.0,0.02,Rain
2014-01-28,39,33,27,19.0,14.0,7.0,69.0,48.0,27.0,30.51,30.4,30.27,10.0,10.0,10.0,15.0,6.0,23.0,0.05,Rain
2014-01-29,49,38,27,19.0,13.0,9.0,63.0,42.0,21.0,30.52,30.41,30.29,10.0,10.0,10.0,15.0,5.0,23.0,0.0, 
2014-01-30,65,48,31,51.0,36.0,20.0,80.0,64.0,48.0,30.26,30.06,29.9,10.0,10.0,10.0,15.0,7.0,27.0,0.0, 
2014-01-31,80,68,55,59.0,54.0,51.0,86.0,64.0,42.0,29.96,29.87,29.79,10.0,10.0,9.0,14.0,9.0,25.0,0.0, 
2014-02-01,76,66,55,62.0,59.0,41.0,81.0,71.0,60.0,29.91,29.81,29.75,10.0,10.0,9.0,14.0,6.0,26.0,0.13,Rain
2014-02-02,55,45,35,40.0,33.0,27.0,79.0,69.0,59.0,30.27,30.09,29.9,10.0,8.0,4.0,18.0,11.0,29.0,0.02,Rain
2014-02-03,46,40,34,38.0,33.0,28.0,82.0,74.0,65.0,30.28,30.17,29.98,10.0,6.0,3.0,13.0,6.0,17.0,0.0, 
2014-02-04,64,53,42,45.0,41.0,39.0,89.0,68.0,46.0,30.11,29.95,29.87,10.0,6.0,2.0,10.0,2.0,18.0,0.15,Rain
2014-02-05,48,40,31,42.0,26.0,16.0,80.0,60.0,39.0,30.5,30.37,30.13,10.0,10.0,10.0,16.0,10.0,24.0,0.0, 
2014-02-06,32,29,26,17.0,15.0,13.0,58.0,54.0,49.0,30.57,30.48,30.42,10.0,10.0,10.0,15.0,8.0,23.0,0.0, 
2014-02-07,38,34,29,29.0,24.0,17.0,78.0,68.0,58.0,30.41,30.32,30.24,10.0,7.0,2.0,8.0,3.0,12.0,0.0, 
2014-02-08,65,51,37,42.0,36.0,29.0,85.0,63.0,40.0,30.26,30.17,30.03,10.0,7.0,3.0,14.0,5.0,21.0,0.0, 
2014-02-09,76,59,41,53.0,45.0,38.0,96.0,70.0,44.0,30.12,30.05,29.93,10.0,5.0,0.0,13.0,4.0,20.0,0.0,Fog
2014-02-10,60,48,35,49.0,36.0,30.0,82.0,74.0,66.0,30.23,30.15,30.02,10.0,8.0,4.0,15.0,9.0,23.0,0.13,Rain
2014-02-11,36,35,33,31.0,29.0,27.0,89.0,80.0,70.0,30.3,30.24,30.19,9.0,5.0,1.0,15.0,9.0,23.0,0.1,Rain
2014-02-12,57,45,33,34.0,29.0,27.0,75.0,57.0,38.0,30.27,30.18,30.08,10.0,9.0,7.0,14.0,5.0,22.0,0.0, 
2014-02-13,69,51,32,38.0,34.0,28.0,85.0,58.0,30.0,30.11,30.02,29.93,10.0,10.0,10.0,10.0,4.0,19.0,0.0, 
2014-02-14,86,67,47,48.0,37.0,22.0,86.0,51.0,15.0,30.08,29.93,29.85,10.0,10.0,8.0,18.0,6.0,30.0,0.0, 
2014-02-15,76,59,42,52.0,35.0,22.0,64.0,43.0,22.0,30.17,30.09,30.01,10.0,10.0,10.0,15.0,5.0,23.0,0.0, 
2014-02-16,76,68,59,61.0,57.0,53.0,90.0,74.0,57.0,30.08,30.01,29.94,10.0,5.0,0.0,13.0,5.0,23.0,0.0,Fog
2014-02-17,81,70,58,62.0,50.0,29.0,87.0,52.0,17.0,30.12,30.03,29.92,10.0,8.0,2.0,15.0,5.0,23.0,0.0, 
2014-02-18,82,69,55,63.0,53.0,32.0,78.0,55.0,32.0,30.1,30.0,29.89,10.0,10.0,9.0,13.0,4.0,20.0,0.0, 
2014-02-19,82,73,63,62.0,60.0,59.0,93.0,70.0,47.0,29.93,29.85,29.72,10.0,9.0,2.0,15.0,7.0,25.0,0.0, 
2014-02-20,83,70,57,64.0,50.0,27.0,81.0,48.0,15.0,30.09,29.85,29.71,10.0,9.0,7.0,16.0,8.0,28.0,0.0, 
2014-02-21,72,57,41,33.0,27.0,22.0,67.0,43.0,19.0,30.21,30.11,30.03,10.0,10.0,10.0,14.0,5.0,20.0,0.0, 
